ID,Date/Time,Categoria,Publicacion,Hora,Lat,Lon
276.0,9/27/2017,Asalto,Domingo,12:30,18.82591902877696,-97.24327474820146
277.0,10/1/2017,Ejecución,Lunes,13:00,18.82591902877696,-97.24327474820146
278.0,10/1/2017,Robo,Lunes,1:00,18.82591902877696,-97.24327474820146
279.0,10/1/2017,Robo,Martes,15:00,18.823210999999997,-97.247864
280.0,10/2/2017,Robo,Miércoles,22:50,18.82591902877696,-97.24327474820146
281.0,10/4/2017,Robo,Jueves,12:00,18.82591902877696,-97.24327474820146
282.0,10/4/2017,Robo,Jueves,3:00,18.82591902877696,-97.24327474820146
283.0,10/4/2017,Robo,Jueves,3:00,18.816412,-97.234309
284.0,10/4/2017,Secuestro,Viernes,12:00,18.82591902877696,-97.24327474820146
285.0,10/5/2017,Robo,Sábado,21:00,18.82591902877696,-97.24327474820146
286.0,10/7/2017,Enfrentamiento,Domingo,16:30,18.82591902877696,-97.24327474820146
287.0,10/11/2017,Asalto,Lunes,6:50,18.82591902877696,-97.24327474820146
288.0,10/15/2017,Enfrentamiento,Lunes,9:30,18.82591902877696,-97.24327474820146
289.0,10/16/2017,Robo,Miércoles,17:00,18.82591902877696,-97.24327474820146
290.0,10/22/2017,Enfrentamiento,Martes,3:00,18.82591902877696,-97.24327474820146
291.0,10/26/2017,Robo,Sábado,17:00,18.82591902877696,-97.24327474820146
292.0,,Robo,,3:00,18.829573,-97.2559
293.0,11/10/2017,Enfrentamiento,Sábado,13:00,18.82591902877696,-97.24327474820146
294.0,,Robo,Domingo,3:00,18.823210999999997,-97.247864
295.0,11/14/2017,Robo,Miércoles,3:00,18.823210999999997,-97.247864
296.0,11/13/2017,Asalto,Miércoles,22:45,18.82591902877696,-97.24327474820146
297.0,,Robo,Jueves,3:00,18.82591902877696,-97.24327474820146
298.0,11/23/2017,Tren,Viernes,3:00,18.82591902877696,-97.24327474820146
299.0,11/26/2017,Asalto,Lunes,21:00,18.82591902877696,-97.24327474820146
300.0,11/23/2017,Robo,Lunes,21:00,18.816412,-97.234309
301.0,12/6/2017,Tren,Jueves,12:00,18.82591902877696,-97.24327474820146
302.0,12/5/2017,Robo,Jueves,11:00,18.847148999999998,-97.073018
303.0,12/9/2017,Tren,Domingo,2:00,18.82591902877696,-97.24327474820146
304.0,12/7/2017,Robo,Lunes,9:00,18.82591902877696,-97.24327474820146
305.0,12/11/2017,Asalto,Martes,19:00,18.82591902877696,-97.24327474820146
306.0,12/15/2017,Ejecución,Sábado,20:30,18.82591902877696,-97.24327474820146
307.0,12/17/2017,Tren,Martes,21:00,18.82591902877696,-97.24327474820146
308.0,,Robo,Sábado,3:00,18.816412,-97.234309
309.0,,Robo,Sábado,3:00,18.82591902877696,-97.24327474820146
310.0,1/8/2018,Robo,Miércoles,12:00,18.82591902877696,-97.24327474820146
311.0,1/10/2018,Robo,Viernes,17:00,18.82591902877696,-97.24327474820146
312.0,1/14/2018,Robo,Martes,17:00,18.82591902877696,-97.24327474820146
313.0,1/16/2018,Robo,Jueves,3:00,18.82591902877696,-97.24327474820146
314.0,1/19/2018,Ejecución,Sábado,7:00,18.82591902877696,-97.24327474820146
315.0,,Robo,Domingo,3:00,18.82591902877696,-97.24327474820146
316.0,1/19/2018,Enfrentamiento,Domingo,23:00,18.82591902877696,-97.24327474820146
317.0,1/21/2018,Tren,Martes,21:00,18.82591902877696,-97.24327474820146
318.0,1/22/2018,Robo,Viernes,8:15,18.82591902877696,-97.24327474820146
319.0,1/22/2018,Robo,Viernes,9:00,18.82591902877696,-97.24327474820146
320.0,1/26/2018,Tren,Domingo,23:30,18.82591902877696,-97.24327474820146
321.0,1/28/2018,Tren,Martes,19:00,18.82591902877696,-97.24327474820146
322.0,2/10/2018,Asalto,Domingo,20:30,18.82591902877696,-97.24327474820146
323.0,2/17/2018,Tren,Domingo,3:00,18.82591902877696,-97.24327474820146
324.0,2/21/2018,Robo,Viernes,22:30,18.829573,-97.2559
325.0,2/23/2018,Robo,Sábado,3:00,18.82591902877696,-97.24327474820146
326.0,3/2/2018,Robo,Lunes,3:00,18.82591902877696,-97.24327474820146
327.0,3/14/2018,Robo,Lunes,3:00,18.82591902877696,-97.24327474820146
328.0,3/16/2018,Robo,Domingo,3:00,18.816412,-97.234309
